camera_motion,video,group,snippet,length,sum,target test length,test set,tmp,actual test length,total target test,actual total test
FALSE,test/test_video_0002.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_0.mp4,1520,26340,5268,TRUE,1520,3580,"39568,2",38407
FALSE,test/test_video_0002.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_1.mp4,560,,,TRUE,560,,,
FALSE,test/test_video_0002.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_2.mp4,1060,,,TRUE,1060,,,
FALSE,test/test_video_0002.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_3.mp4,440,,,TRUE,440,,,
FALSE,test/test_video_0002.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_4.mp4,8260,,,FALSE,0,,,
FALSE,test/test_video_0002.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_5.mp4,80,,,FALSE,0,,,
FALSE,test/test_video_0002.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_6.mp4,14420,,,FALSE,0,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_7.mp4,340,3620,724,TRUE,340,720,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_8.mp4,100,,,TRUE,100,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_9.mp4,500,,,FALSE,0,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_10.mp4,140,,,FALSE,0,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_11.mp4,80,,,TRUE,80,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_12.mp4,60,,,FALSE,0,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_13.mp4,640,,,FALSE,0,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_14.mp4,100,,,TRUE,100,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_15.mp4,820,,,FALSE,0,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_16.mp4,100,,,FALSE,0,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_17.mp4,100,,,TRUE,100,,,
FALSE,test/test_video_0003.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_18.mp4,640,,,FALSE,0,,,
FALSE,test/test_video_0005.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_19.mp4,2600,6180,1236,TRUE,2600,2600,,
FALSE,test/test_video_0005.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_20.mp4,3580,,,FALSE,0,,,
FALSE,test/test_video_0006.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_21.mp4,5900,10420,2084,FALSE,0,0,,
FALSE,test/test_video_0006.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_22.mp4,4520,,,FALSE,0,,,
FALSE,test/test_video_0007.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_23.mp4,2220,6140,1228,FALSE,0,1780,,
FALSE,test/test_video_0007.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_24.mp4,2140,,,FALSE,0,,,
FALSE,test/test_video_0007.mp4,SurgVisDom_test_no_indicators,without_camera_motion/vid_25.mp4,1780,,,TRUE,1780,,,
